serial_EUL	IntMode	QnrVersion	Sexualit_Archive	RespAge_Archive	ChildHHAge_1_q_Archive	ChildHHAge_2_q_Archive	ChildHHAge_3_q_Archive	ChildHHAge_4_q_Archive	MarStat6_Archive	WRKHRS_Archive	EMPSTAT	Employ	Superv	NSUP_Archive	TYPORG1	TYPORG2	EmpOCC	UnionSA	TUSAEver	TOPBOT	TENHHL_Archive	ISSP_UrbRur	Internt	IntPers	IntFreq	SupParty	ClosePty	PARTYFW	EURefV2	EURefVote	Politics	UnempJob	SocHelp	DoleFidl	WelfFeet	Welfhelp	morewelf	damlives	proudwlf	Redistrb	BigBusnN	Wealth	RichLaw	Indust4	TradVals	StifSent	DeathApp	Obey	WrongLaw	Censor	ISSP_Q1	ISSP_Q2_A_q	ISSP_Q2_B_q	ISSP_Q2_C_q	ISSP_Q2_D_q	ISSP_Q2_E_q	ISSP_Q2_F_q	ISSP_Q2_G_q	ISSP_Q2_H_q	ISSP_Q2_I_q	ISSP_Q2_J_q	ISSP_Q2_K_q	ISSP_Q2_L_q	ISSP_Q3	ISSP_Q4	ISSP_Q5	ISSP_Q6_A_q	ISSP_Q6_B_q	ISSP_Q6_C_q	ISSP_Q7	ISSP_Q8	ISSP_Q9	ISSP_Q10_A_q	ISSP_Q10_B_q	ISSP_Q10_C_q	ISSP_Q10_D_q	ISSP_Q11_A_q	ISSP_Q11_B_q	ISSP_Q11_C_q	ISSP_Q11_D_q	ISSP_Q11_E_q	ISSP_Q11_F_q	ISSP_Q12_A_q	ISSP_Q12_B_q	ISSP_Q13_A_q	ISSP_Q13_B_q	ISSP_Q13_C_q	ISSP_Q14	ISSP_Q15_A_q	ISSP_Q15_B_q	ISSP_Q16	ISSP_Q17_A_q	ISSP_Q17_B_q	ISSP_Q17_C_q	ISSP_Q18	ISSP_Q19	ISSP_Q20	ISSP_Q21_A_q	ISSP_Q21_B_q	ISSP_Q21_C_q	ISSP_Q21_D_q	ISSP_Q21_E_q	ISSP_Q22	ISSP_Q23_A_q	ISSP_Q23_B_q	ISSP_Q23_C_q	ISSP_Q23_D_q	ISSP_Q23_E_q	ISSP_Q24	ISSP_Q25	ISSP_Q26_A_q	ISSP_Q26_B_q	ISSP_Q27	ISSP_Q28_A_q	ISSP_Q28_B_q	ISSP_Q29_A_q	ISSP_Q29_B_q	ISSP_Q30	ISSP_Q31	ISSP_Q32	ISSP_Q33	ISSP_Q34	ISSP_Q35	ISSP_Q36_A_q	ISSP_Q36_B_q	ISSP_Q36_C_q	ISSP_Q36_D_q	ISSP_Q36_E_q	BelongUK	PartofUK	CheatPor	FalseBn2	Ben3000	FalCatch	BFRecDebt	BFPnshNew01	BFPnshNew02	BFPnshNew03	BFPnshNew04	BFPnshNew05	BFPnshNew06	BFPnshNew07	BFPnshNew08	BFPnshNew09	BFPnshNew10	BFPnshNew11	BFPnshNew12	BFPnshNew13	CosLivBF	JOBWORK2	FinInd	UBAFW01	UBAFW02	UBAFW03	UBAFW04	UBAFW07	UBAFW08	UBAFW09	UBAFW10	UBAFW11	UBAFW12	UBAFW13	JOBWORK3	JOBWORK5	JOBWORKWK	DWPHon	DWPQui	DWPFai	DWPServTrav_1_Slice	DWPServTrav_2_Slice	DWPServTrav_3_Slice	DWPCon01	DWPCon02	DWPCon03	DWPCon04	DWPCon05	DWPCon06	DWPCon07	DWPCon08	GvPriCha_1_Slice	GvPriCha_2_Slice	GvPriCha_3_Slice	SocSpnd2	Dbreq	HltBen01	HltBen02	HltBen03	DisBenDif	Dbag	FairRent	DMWelf	IDGWelf	MuchPov	FuturPov	FEELPOOR	Sellhome	AffSVRet	DefContPen	PENFREEUSEb	penfreeusewhy01_Archive	penfreeusewhy02_Archive	penfreeusewhy03_Archive	penfreeusewhy04_Archive	penfreeusewhy06_Archive	penfreeusewhy07_Archive	penfreeusewhy08_Archive	penfreeusewhy09_Archive	penfreeusewhy10_Archive	PrivPen	ConfPen	InvestPenUK	SPExist	NHSSat	NHSSatSp_1_q	NHSSatSp_2_q	NHSSatSp_3_q	NHSSatSp_4_q	NHSSatSp_5_q	PatComm	EffSpend	StafLvAP	GPSat	DentSat	InOutSat	AESat	CareSat3	GvMonNHS	NHSTaxSpend	NHSPriority01	NHSPriority02	NHSPriority03	NHSPriority04	NHSPriority05	NHSPriority06	NHSPriority07	NHSPriority08	NHSPriority09	NHSPriority10	NHSPriority11	NHSPrinciples1_NHSPrinciples1R_1_slice	NHSPrinciples1_NHSPrinciples1R_3_slice	NHSPrinciples1_NHSPrinciples1R_4_slice	Privfect	EmpRight	TaxSpend	Spend1	Spend2	GovResp_1_q	GovResp_2_q	GovResp_3_q	GovResp_4_q	GovResp_5_q	GovResp_6_q	GovResp_7_q	CarePa2	EuPain2	EuNDiSh2	SmokBanB	CanLegal	TaxHISc2	TaxMidSC	TaxLowSC	HIncPast	EUAddRef	ECPolicy2	EUExEco2	EUExIm2	EUImpSov	MiEcono	MiCultur	Gvspend5	Peace_1_Slice	Peace_2_Slice	Peace_3_Slice	Peace_4_Slice	Peace_5_Slice	Peace_6_Slice	Peace_7_Slice	CCBELIEV	ccnthum	ccISSUE_1_Slice	ccISSUE_2_Slice	ccISSUE_3_Slice	ccISSUE_4_Slice	ccISSUE_5_Slice	ccISSUE_6_Slice	ccISSUE_7_Slice	ccISSUE_8_Slice	HomsBult	EQOPPGAY	EQOPPT	CHOPWOMM	EQOPPBLK	TbirCert	VoteSyst	Coalitin	Vot1617A	ConLabDf	GovTrust	MPsTrust	GovtWork	VoteDuty	Voted	Vote	Monarchy	HeadStat	NatIdGB	ChAttend	NationU01_Archive	NationU02_Archive	NationU03_Archive	NationU04_Archive	NationU05_Archive	NationU06_Archive	NationU08_Archive	NationU09_Archive	NationU10_Archive	DisNew3	DisAct2	HEdQual2	HhldEdu	Anybn3	Maininc5_Archive	HHincome	REarn	HIncDif4	DVsex24	ReconAct	Ragecat	Ragecat2	DisActDV	leftrig2	leftrigh	Libauth	Libauth2	Welfare2	Welfgrp	EmployB	Raceori4	LegMarStE	HhlAdGpd	HhlChlGpd_Archive	BestNatU2_Archive	ReligFamSum	Religsum	EmplStatDv_Archive	RClassGP	UnionDV	BSA24_final_wt	BSA24_final_wt_GB18	GOR	PSU	BSA24_strata
10001268	1	1	1	74	-1	-1	-1	-1	4	-1	3	-1	-1	-1	8	2	5	3	3	3	1	3	-1	-1	1	1	-1	1	1	2	1	2	3	3	3	4	2	2	2	3	3	3	3	4	2	2	2	2	3	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	7	5	1	6	-1	2	1	1	2	2	3	2	3	4	1	4	2	4	3	3	4	3	3	5	1	4	1	4	4	2	2	3	1	3	2	1	4	4	4	4	4	7	7	7	6	3	1	3	5	4	1	2	2	1	2	2	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	1	8	-1	-1	3	7	1	0	0	0	0	0	0	0	0	1	2	4	1	1	4	1	-1	4	1	8	8	3	1	2	3.2	3.83333333333333	3	2.625	2	97	3	3	1	0	1	1	4	3	3	3	.914557157698309	.875746520959091	4	8	1001
10001546	1	1	1	43	98	98	98	1	1	7	1	2	2	-1	2	8	98	3	8	9	5	3	-1	-1	1	2	2	15	1	2	5	5	2	2	5	5	3	1	2	3	3	1	1	2	2	2	2	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	2	5	8	1	1	1	1	1	1	1	4	1	1	6	4	3	3	2	1	3	9	4	1	4	1	1	4	2	1	1	1	3	3	4	2	4	4	4	4	12	6	1	1	4	1	4	5	5	1	3	5	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	3	5	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	3	6	1	1	0	0	0	0	0	0	0	2	-1	4	2	1	1	1	1	4	1	3	3	2	3	1	2	4	3	2.125	1	1	3	2	3	1	1	3	5	8	8	8	2.13710619363796	2.03753541753516	4	9	1001
10006141	1	1	1	23	0	0	1	0	7	7	1	1	1	6	2	1	1	3	3	98	7	3	-1	-1	1	2	2	15	2	-1	5	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	2	4	5	2	1	1	1	1	1	3	1	5	2	2	2	5	6	5	3	1	3	3	6	4	1	4	4	4	7	3	3	3	3	3	5	4	5	4	4	4	12	12	1	6	2	2	4	2	2	4	4	4	4	4	2	11	11	11	11	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	1	3	4	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	1	7	1	0	0	0	0	0	0	0	0	2	-1	2	2	2	1	9	5	4	1	3	1	1	3	2	3	3	2	3.125	2	1	3	6	2	1	1	2	2	6	1	3	.740105284307067	.662315554687866	5	10	1002
10005409	1	1	1	22	99	99	1	99	7	7	3	-1	-1	-1	1	2	8	3	3	4	4	3	-1	-1	1	2	2	8	2	-1	5	3	2	4	5	4	4	5	4	3	3	2	3	4	4	3	4	4	3	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	6	5	6	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	4	1	1	1	1	3	3	2	2	1	1	2	3	2	3	1	1	1	8	1	2	1	1	4	1	1	1	1	1	3	1	11	8	7	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	2	2	4	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	1	-1	1	1	0	0	0	0	0	0	0	2	-1	4	1	1	7	1	1	4	2	3	1	1	3	2	3	2.33333333333333	1	3.125	2	3	3	6	3	1	2	5	5	3	1	3	3.3565793116486	3.80705536263567	5	10	1002
10000510	1	1	1	31	1	1	1	0	3	-1	3	-1	-1	-1	1	1	1	3	3	9	10	3	-1	-1	1	2	1	2	1	1	4	4	5	5	5	5	3	1	1	1	1	1	1	1	2	4	1	4	5	4	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	7	1	6	-1	1	1	1	1	1	4	2	2	1	2	1	2	3	3	3	3	1	1	5	2	1	2	2	4	4	3	3	2	3	3	4	2	4	4	4	4	4	1	1	2	1	1	2	4	5	3	4	1	2	1	3	11	8	1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	5	4	2	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	3	-1	0	1	0	0	0	0	0	0	0	1	1	4	2	1	7	1	-1	5	1	7	2	1	1	1	1	2.66666666666667	2	1.375	1	97	3	6	2	3	2	5	5	3	1	3	.417329934906922	.451114456432853	5	11	1002
10000566	1	1	1	53	-1	-1	-1	-1	7	7	1	2	2	-1	2	1	2	3	3	6	1	3	-1	-1	1	2	1	8	1	2	3	2	2	2	3	3	4	3	4	2	3	3	2	4	1	2	2	2	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	2	1	2	2	2	2	2	1	1	1	3	2	2	5	2	3	3	2	8	1	4	5	2	2	2	2	4	5	1	3	2	3	3	3	4	4	4	4	4	8	3	2	3	2	1	2	5	5	1	3	3	1	1	2	2	4	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	5	-1	-1	-1	-1	-1	-1	-1	-1	1	8	-1	-1	3	5	0	1	0	0	0	0	0	0	0	1	2	4	2	1	1	2	3	3	2	3	4	2	1	2	2.8	4.16666666666667	3	3.625	3	1	3	6	1	0	2	3	3	7	2	3	.709658847782081	.68428700145716	5	12	1002
10002882	1	1	1	30	2	1	0	0	7	1	3	-1	-1	-1	1	2	6	3	3	6	10	3	-1	-1	1	2	2	2	1	2	3	2	4	4	4	4	2	1	1	1	1	1	2	3	2	1	2	3	4	3	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	3	3	6	-1	1	1	1	1	1	3	2	4	2	2	3	2	2	4	3	8	3	2	6	2	3	2	4	4	1	1	2	2	3	3	4	2	4	2	4	4	6	4	1	1	1	2	4	3	5	1	3	4	1	1	2	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	2	3	3	5	-1	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	3	-1	1	1	0	0	0	0	0	0	0	1	2	1	-1	1	7	2	1	4	1	3	2	1	1	1	1.6	3.5	2	2	1	3	3	6	1	3	2	5	5	3	3	3	.340966914795306	.328363527291369	5	13	1002
10005740	1	1	1	57	-1	-1	-1	-1	1	7	1	1	1	1	2	1	1	1	-1	5	1	3	-1	-1	1	1	-1	2	1	1	2	2	4	3	4	3	3	2	2	1	2	2	3	3	3	2	5	3	2	2	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	2	4	1	7	-1	1	1	2	2	3	3	2	4	2	2	5	4	2	3	1	6	2	3	5	1	3	2	2	5	2	2	3	5	3	3	2	2	4	2	4	4	3	5	7	7	1	2	3	5	5	5	3	3	1	5	2	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	4	3	3	-1	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	3	6	0	1	0	0	0	0	0	0	0	2	-1	1	-1	2	1	3	2	2	1	3	5	3	3	1	2.2	3.16666666666667	2	2.625	2	1	3	1	3	0	2	1	1	6	1	1	.682566250511547	.651251430884878	5	14	1002
10003291	1	1	1	45	-1	-1	-1	-1	1	-1	1	1	2	-1	1	2	4	3	3	4	2	3	-1	-1	1	2	2	2	1	1	5	1	1	1	1	1	1	1	1	2	3	1	3	1	2	4	1	3	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	5	1	2	3	2	2	2	2	5	2	2	2	3	2	1	1	4	4	4	4	6	3	3	5	2	2	2	1	1	1	4	4	4	4	4	3	3	3	4	3	3	6	7	4	6	2	2	2	1	1	3	3	3	3	2	1	1	3	1	1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	5	-1	0	0	0	0	0	0	1	0	0	1	1	6	1	1	6	9	-1	4	2	7	4	2	1	1	2	4	3	3.5	2	97	3	1	3	0	8	5	5	7	4	3	2.05306818865225	2.06175775690388	5	15	1002
10002627	1	1	1	44	-1	-1	-1	-1	1	5	1	1	2	-1	8	8	4	3	3	3	2	3	-1	-1	1	2	2	2	2	-1	5	3	3	2	1	2	4	2	1	1	3	1	2	1	1	2	1	2	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	5	1	2	4	1	1	1	1	3	3	3	3	3	3	3	1	3	1	2	2	1	1	3	1	1	1	1	1	1	1	2	2	2	2	2	4	3	3	3	3	3	1	1	1	1	1	2	2	1	1	3	3	4	4	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	3	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	2	-1	0	1	0	0	0	0	0	0	0	2	-1	4	2	1	1	9	5	4	1	3	3	2	3	1	1.6	4.66666666666667	3	3.25	2	1	3	1	3	0	2	5	5	7	4	3	2.1129496505881	2.09068945866001	5	15	1002
10005568	1	1	2	22	-1	-1	-1	-1	7	-1	4	-1	-1	-1	-1	-1	-1	3	3	9	10	3	-1	-1	1	2	1	6	3	-1	2	3	5	5	5	5	1	1	1	1	1	1	1	1	5	5	5	5	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	2	2	3	5	1	1	1	1	2	2	1	3	2	3	1	1	3	2	2	6	4	3	2	1	2	2	4	3	6	3	2	2	3	3	1	3	1	3	3	3	1	4	1	1	1	3	4	3	4	3	3	3	1	1	2	3	3	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	5	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	1	6	-1	-1	4	8	1	1	1	0	0	0	0	0	0	1	1	3	2	1	7	1	-1	4	2	7	1	1	1	1	1	1	1	1.25	1	97	3	6	2	0	1	5	4	-1	-1	3	1.92671751073233	2.25793536597871	5	16	1002
